id,human_readable_id,community,level,parent,children,title,entity_ids,relationship_ids,text_unit_ids,period,size
ad4d4859-eb10-456b-a74c-0964cf691b94,88,88,1,19,[],Community 88,"['9490f37a-981e-492f-83be-fb416abbdb12'
 'b688bbff-320f-4ac2-9699-b0fee51ea300']",['633ce2a2-8388-435a-9115-2f4e3a5ccf75'],['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'],2026-08-11,2
9ac28a57-156c-4aac-908f-59382c48cc99,89,89,1,19,[],Community 89,"['b9062ae2-9324-4898-8223-204e176166de'
 '7f9cbf7d-6f17-4f98-9364-a3ea82af57fd']",['e76aa53b-34d4-42f3-bd08-f0ea1c49d12b'],['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],2026-08-11,2
cb616f06-a3cb-4a07-bbcf-286a48e5dd93,90,90,1,19,[],Community 90,"['f392ad38-3c4b-4875-a70e-69341787ddd2'
 '5296ebed-2116-4f3e-8c70-83f326e67460']",['12d3bb5e-1389-4651-a993-3bb92cd39f59'],['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],2026-08-11,2
56de47f8-f0a8-49a2-8a59-7c5200d6595e,91,91,1,19,[],Community 91,"['79cb9881-f334-4ced-8138-d9abc45ed17a'
 '2da95adf-369d-4aa9-b46b-f471f1fcbb6e'
 '08a6d268-a15c-4f12-8f56-bd268344aca7']","['31bd2084-7db8-4cfc-9174-42b893c0185a'
 '7dbccdf0-5ea4-40aa-a771-78a95e28dd11']",['06c273ec9919eb4693462fdacebd50536ccdcf47bacc47b2b30c8a69005636b654b4919dc579696a4a7abbde4a00511a66f0c0be040f4ffc907fc316bee009dc'],2026-08-11,3
74a08ccc-abb5-4c28-b161-f0370ca8ecb0,92,92,1,19,[],Community 92,"['7fb266f5-5058-4321-bd48-e54874473568'
 '90ea8220-79c7-4f30-abbc-79deefc76bda']",['8beec70f-f874-48b7-9afc-0a1fc62da8e9'],['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],2026-08-11,2
0ba8dd6e-b37d-4cb3-b096-c353b087d193,93,93,1,20,[],Community 93,"['077391bf-ba15-4ade-9a43-449741d7f5be'
 '09231aff-714c-4d47-83fd-7a6b6f81f291'
 '25d07f28-a749-4308-bba0-2fe2b1fa1bed'
 'a71a5a1f-c796-475a-b192-021b3c57083c']","['0177050b-bf5b-4a32-94f9-d2900fa6e809'
 '99970a53-43f9-4938-94c8-5671d4c4c33a'
 'e1e2e142-2dd0-40b8-95ae-57cfde04808a']","['23663988970639bea940978ccbd9150fd292856f2f31a1d587392606a64713d5dfeade66f1beea67d1cc0b0e93012337685e0eca3267f98c1695a466657a8b24'
 '4d221520fe7090409cfa9cda598db30683356c340ab3584a063ffe92486f2fe7225fc056f8b997f085ff0c0f7475828879fa678b7b1709148cb03584b292dab0'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757']",2026-08-11,4
7a1ec21d-4863-4cd7-b40b-9a09bf230d4e,94,94,1,20,[],Community 94,"['e9dc4ce0-c785-454c-bbf5-75d57321b9ff'
 'a911d601-f40b-4aaa-be4b-620c3aa3e957']",['18a17bde-09ed-477a-9b00-5e2430440b49'],['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],2026-08-11,2
6e84e8ac-2672-4934-a345-8026325259e5,95,95,1,20,[],Community 95,"['ffc8c0fb-c550-47e7-b7ab-9ed2df6eac19'
 '10850660-c7bd-4fcf-bb7d-77add2e98cd0']",['4ae7c604-c0df-481b-8f30-4dc6e4cd355b'],['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],2026-08-11,2
f469630d-8489-4b84-ad5a-20a48e3ff384,96,96,1,20,[],Community 96,"['e2f95653-dfcc-4133-8911-f2b8d1d36c31'
 '6551dfa3-ce47-4eed-ad10-cfb38fadbd32'
 '4d61001a-533f-4198-ab81-2683868a6210'
 '9e6472d3-d746-4574-929c-b9860ad74f61'
 '8e7027a7-48e5-4dd0-ae3e-dde4f09e565b'
 '25237be8-701d-45c0-92a4-38add8210570']","['13050e8b-7d9e-4b3b-bb57-4d7317ff5784'
 '6a326011-8996-4c12-98ec-578c4124b90e'
 '6be932d9-fbf1-48bc-9c70-948a5268351e'
 '8ba6da88-929a-4fe8-81b5-2ccbe647c98d'
 'c03f623b-54af-4e4c-9311-d02bdd23086b']","['4d221520fe7090409cfa9cda598db30683356c340ab3584a063ffe92486f2fe7225fc056f8b997f085ff0c0f7475828879fa678b7b1709148cb03584b292dab0'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a']",2026-08-11,6
27bd9a72-f3af-4191-ad64-165a78c15486,97,97,1,21,[107 108 109],Community 97,"['10636111-e22e-47e8-878c-b526cf785bbb'
 'fbf24db5-365d-4eb4-ae70-ce610572f12b'
 'acbde03e-cdee-44db-9088-70b0b90fb153'
 '50c6d57c-3aed-4c09-a0d1-db5b132b6f28'
 '4afaa4b0-30f7-48af-9662-e3a7069adfbc'
 'd304517a-1c3a-401d-8ac4-4ee9b88b4d70'
 'f24880af-f419-462a-9599-6927bf3672aa'
 'fb5889fd-c3e0-43b2-8c85-e3a8340a77b7'
 '2e799e3b-35d1-437c-9058-6665b848d2a9'
 '5b81ac85-45de-4a0c-ab31-6c2bb08303b9']","['2c7fca5c-4bf3-488c-bb3b-6417d4e84170'
 '3894dc20-61be-45be-8bd8-ac643cce4731'
 '45a29635-026b-4c58-8ea1-af05f78ec74c'
 '5af51e69-5a81-47c5-aa7a-cb3d0d9f5bcb'
 '6b4862fd-6a25-4236-a21f-4e2e890ca5ba'
 '7e556673-32c2-439a-902a-39386ac580fa'
 '7fdfeaa4-a4b2-450d-8fcf-725f1e81b27f'
 'e29296cf-8316-4f74-a76d-5dc423a1fe73'
 'ee194553-0b8a-4000-95b5-9434e09d429c'
 'fe3d2592-ad51-43d7-b2c5-78864178408f']","['23663988970639bea940978ccbd9150fd292856f2f31a1d587392606a64713d5dfeade66f1beea67d1cc0b0e93012337685e0eca3267f98c1695a466657a8b24'
 '6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302']",2026-08-11,10
